DIM,Pytorch Native,Torch.compile,My triton,My Torch
1024.000000,716.485154,719.928581,750.054336,128.156435
1536.000000,747.914426,705.320185,771.768431,100.399843
2048.000000,747.381340,763.989814,937.484115,89.687038
2560.000000,760.057998,760.719691,893.469669,88.022428
3072.000000,746.494550,758.006759,864.686093,87.556447
3584.000000,746.241532,766.342883,857.881257,87.268092
4096.000000,763.711593,772.431690,847.334146,86.987173
4608.000000,753.527924,771.957780,838.786225,86.909769
5120.000000,759.617509,773.971078,828.782774,86.777507
5632.000000,758.239267,777.665575,820.715504,86.877182
6144.000000,758.646565,775.000750,820.268036,86.836193
6656.000000,756.128673,772.584932,814.111761,86.795463
7168.000000,755.302740,775.778914,814.292417,86.927034
7680.000000,749.982819,773.590426,809.252936,86.973527
8192.000000,737.071241,776.291700,809.867528,87.426868
